City or Locality,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),lat,lng
Bangor (Me),2016,,13.1,,39.3761,-121.4117
Bangor (Me),2017,,15.7,,44.8323,-68.7906
Bangor (Me),2017,,15.7,,40.8678,-75.2085
Bangor (Me),2017,,15.7,,42.312,-86.1135
Bangor (Me),2017,,15.7,,43.8937,-90.9934
Bangor (Me),2017,,15.7,,39.3761,-121.4117
Bar Harbor,2010,,6.2,,,
Bar Harbor,2011,,6.8,,,
Bar Harbor,2012,,6.3,,,
Bar Harbor,2013,,5.5,,,
Bar Harbor,2014,,5.7,,,
Bar Harbor,2015,,5.8,,,
Bar Harbor,2016,,4.5,,,
Bar Harbor,2017,,5.1,,,
Bar Harbor,2018,,5.0,,,
Bar Harbor,2019,,5.1,,,
Baraboo (Wi),2011,,8.5,,43.4695,-89.7376
Baraboo (Wi),2016,,9.0,,43.4695,-89.7376
Baraboo (Wi),2017,,9.7,,43.4695,-89.7376
Baton Rouge (La),2010,,27.8,16.38,30.442,-91.1311
Baton Rouge (La),2011,,,11.57,30.442,-91.1311
Baton Rouge (La),2012,,25.0,14.7,30.442,-91.1311
Baton Rouge (La),2013,,,11.93,30.442,-91.1311
Baton Rouge (La),2014,9.2,,10.18,30.442,-91.1311
Baton Rouge (La),2015,,,11.8,30.442,-91.1311
Baton Rouge (La),2016,,,11.93,30.442,-91.1311
Baton Rouge (La),2017,,22.0,12.43,30.442,-91.1311
Baton Rouge (La),2018,,26.5,10.48,30.442,-91.1311
Baton Rouge (La),2019,8.9,,8.47,30.442,-91.1311
Beaumont-Port Arthur (Tx),2010,,,9.9,,
Beaumont-Port Arthur (Tx),2012,,,8.7,,
Beaumont-Port Arthur (Tx),2013,,,10.1,,
Beaumont-Port Arthur (Tx),2014,,,4.6,,
Beaumont-Port Arthur (Tx),2015,,,6.1,,
Beaumont-Port Arthur (Tx),2016,,,7.35,,
Beaumont-Port Arthur (Tx),2017,,,5.25,,
Beaumont-Port Arthur (Tx),2018,,,4.4,,
Beaumont-Port Arthur (Tx),2019,,,8.13,,
Beaver Dam (Wi),2013,,10.3,,43.4688,-88.8309
Beaver Dam (Wi),2013,,10.3,,37.4042,-86.8741
Beaver Dam (Wi),2013,,10.3,,36.907,-113.9362
Beaver Dam (Wi),2013,,10.3,,41.0937,-85.9757
Beaver Dam (Wi),2015,,10.8,,43.4688,-88.8309
Beaver Dam (Wi),2015,,10.8,,37.4042,-86.8741
Beaver Dam (Wi),2015,,10.8,,36.907,-113.9362
Beaver Dam (Wi),2015,,10.8,,41.0937,-85.9757
Beaver Dam (Wi),2016,,10.2,,43.4688,-88.8309
Beaver Dam (Wi),2016,,10.2,,37.4042,-86.8741
Beaver Dam (Wi),2016,,10.2,,36.907,-113.9362
Beaver Dam (Wi),2016,,10.2,,41.0937,-85.9757
Beaver Dam (Wi),2017,,8.5,,43.4688,-88.8309
Beaver Dam (Wi),2017,,8.5,,37.4042,-86.8741
Beaver Dam (Wi),2017,,8.5,,36.907,-113.9362
Beaver Dam (Wi),2017,,8.5,,41.0937,-85.9757
Birmingham-Hoover (Al),2010,12.77,26.08,,,
Birmingham-Hoover (Al),2011,12.43,21.56,,,
Birmingham-Hoover (Al),2012,10.93,20.15,,,
Birmingham-Hoover (Al),2013,10.25,17.1,,,
Birmingham-Hoover (Al),2014,11.0,19.9,,,
Birmingham-Hoover (Al),2015,10.2,18.2,,,
Birmingham-Hoover (Al),2016,9.2,18.5,,,
Birmingham-Hoover (Al),2017,9.85,17.44,,,
Birmingham-Hoover (Al),2018,9.07,18.24,,,
Birmingham-Hoover (Al),2019,9.23,20.58,,,
Bishop (Ca),2010,,24.0,,37.3665,-118.3958
Bishop (Ca),2010,,24.0,,27.5852,-97.7975
Bishop (Ca),2010,,24.0,,33.8171,-83.4372
Bishop (Ca),2011,8.1,20.53,,37.3665,-118.3958
Bishop (Ca),2011,8.1,20.53,,27.5852,-97.7975
Bishop (Ca),2011,8.1,20.53,,33.8171,-83.4372
Bishop (Ca),2012,,22.82,,37.3665,-118.3958
Bishop (Ca),2012,,22.82,,27.5852,-97.7975
Bishop (Ca),2012,,22.82,,33.8171,-83.4372
Bishop (Ca),2013,,18.6,,37.3665,-118.3958
Bishop (Ca),2013,,18.6,,27.5852,-97.7975
Bishop (Ca),2013,,18.6,,33.8171,-83.4372
Bishop (Ca),2014,,17.8,,37.3665,-118.3958
Bishop (Ca),2014,,17.8,,27.5852,-97.7975
Bishop (Ca),2014,,17.8,,33.8171,-83.4372
Bishop (Ca),2015,,15.68,,37.3665,-118.3958
Bishop (Ca),2015,,15.68,,27.5852,-97.7975
Bishop (Ca),2015,,15.68,,33.8171,-83.4372
Bishop (Ca),2016,6.6,17.93,,37.3665,-118.3958
Bishop (Ca),2016,6.6,17.93,,27.5852,-97.7975
Bishop (Ca),2016,6.6,17.93,,33.8171,-83.4372
Bishop (Ca),2017,,22.42,,37.3665,-118.3958
Bishop (Ca),2017,,22.42,,27.5852,-97.7975
Bishop (Ca),2017,,22.42,,33.8171,-83.4372
Bishop (Ca),2018,,18.21,,37.3665,-118.3958
Bishop (Ca),2018,,18.21,,27.5852,-97.7975
Bishop (Ca),2018,,18.21,,33.8171,-83.4372
Bishop (Ca),2019,,14.78,,37.3665,-118.3958
Bishop (Ca),2019,,14.78,,27.5852,-97.7975
Bishop (Ca),2019,,14.78,,33.8171,-83.4372
Bismarck (Nd),2010,,13.9,,46.8143,-100.7694
Bismarck (Nd),2010,,13.9,,37.7674,-90.6224
Bismarck (Nd),2010,,13.9,,40.2594,-87.6112
Bismarck (Nd),2010,,13.9,,34.3178,-93.178
Bismarck (Nd),2011,,7.4,5.75,46.8143,-100.7694
Bismarck (Nd),2011,,7.4,5.75,37.7674,-90.6224
Bismarck (Nd),2011,,7.4,5.75,40.2594,-87.6112
Bismarck (Nd),2011,,7.4,5.75,34.3178,-93.178
Bismarck (Nd),2012,,14.0,4.0,46.8143,-100.7694
Bismarck (Nd),2012,,14.0,4.0,37.7674,-90.6224
Bismarck (Nd),2012,,14.0,4.0,40.2594,-87.6112
Bismarck (Nd),2012,,14.0,4.0,34.3178,-93.178
Bismarck (Nd),2013,,,6.7,46.8143,-100.7694
Bismarck (Nd),2013,,,6.7,37.7674,-90.6224
Bismarck (Nd),2013,,,6.7,40.2594,-87.6112
Bismarck (Nd),2013,,,6.7,34.3178,-93.178
Bismarck (Nd),2014,4.9,,7.25,46.8143,-100.7694
Bismarck (Nd),2014,4.9,,7.25,37.7674,-90.6224
Bismarck (Nd),2014,4.9,,7.25,40.2594,-87.6112
Bismarck (Nd),2014,4.9,,7.25,34.3178,-93.178
Bismarck (Nd),2016,3.2,,,46.8143,-100.7694
Bismarck (Nd),2016,3.2,,,37.7674,-90.6224
Bismarck (Nd),2016,3.2,,,40.2594,-87.6112
Bismarck (Nd),2016,3.2,,,34.3178,-93.178
Bismarck (Nd),2017,,13.2,,46.8143,-100.7694
Bismarck (Nd),2017,,13.2,,37.7674,-90.6224
Bismarck (Nd),2017,,13.2,,40.2594,-87.6112
Bismarck (Nd),2017,,13.2,,34.3178,-93.178
Bismarck (Nd),2018,,,9.2,46.8143,-100.7694
Bismarck (Nd),2018,,,9.2,37.7674,-90.6224
Bismarck (Nd),2018,,,9.2,40.2594,-87.6112
Bismarck (Nd),2018,,,9.2,34.3178,-93.178
Bismarck (Nd),2019,4.4,9.0,6.5,46.8143,-100.7694
Bismarck (Nd),2019,4.4,9.0,6.5,37.7674,-90.6224
Bismarck (Nd),2019,4.4,9.0,6.5,40.2594,-87.6112
Bismarck (Nd),2019,4.4,9.0,6.5,34.3178,-93.178
Bloomington (In),2016,7.8,,,40.4757,-88.9703
Bloomington (In),2016,7.8,,,39.1637,-86.5257
Bloomington (In),2016,7.8,,,44.8306,-93.3151
Bloomington (In),2016,7.8,,,34.0601,-117.4013
Bloomington (In),2016,7.8,,,28.6504,-96.9022
Bloomington (In),2016,7.8,,,42.8931,-90.9264
Bloomington (In),2016,7.8,,,42.1908,-111.4042
Bloomington (In),2016,7.8,,,39.4794,-79.0768
Bloomington (In),2016,7.8,,,40.0938,-99.0384
Boise City (Id),2010,,18.4,,36.7313,-102.5095
Boise City (Id),2012,,26.4,,36.7313,-102.5095
Boise City (Id),2013,,24.15,,36.7313,-102.5095
Boise City (Id),2016,,21.0,,36.7313,-102.5095
Boise City (Id),2017,,22.7,,36.7313,-102.5095
Boise City (Id),2018,,20.5,,36.7313,-102.5095
Boise City (Id),2019,,21.9,,36.7313,-102.5095
Boston-Cambridge-Newton (Ma-Nh),2010,,14.2,27.23,,
Boston-Cambridge-Newton (Ma-Nh),2011,,,25.02,,
Boston-Cambridge-Newton (Ma-Nh),2012,,14.2,22.15,,
Boston-Cambridge-Newton (Ma-Nh),2013,6.3,15.2,24.63,,
Boston-Cambridge-Newton (Ma-Nh),2014,,,30.95,,
Boston-Cambridge-Newton (Ma-Nh),2015,,11.7,20.95,,
Boston-Cambridge-Newton (Ma-Nh),2016,,,20.07,,
Boston-Cambridge-Newton (Ma-Nh),2017,4.7,,17.67,,
Boston-Cambridge-Newton (Ma-Nh),2018,5.35,9.0,15.4,,
Boston-Cambridge-Newton (Ma-Nh),2019,,10.1,17.67,,
Boulder (Co),2011,5.8,,,40.0248,-105.2524
Boulder (Co),2011,5.8,,,46.2359,-112.1198
Boulder (Co),2011,5.8,,,37.9228,-111.4319
Boulder (Co),2011,5.8,,,42.7461,-109.7067
Boulder (Co),2012,,20.8,,40.0248,-105.2524
Boulder (Co),2012,,20.8,,46.2359,-112.1198
Boulder (Co),2012,,20.8,,37.9228,-111.4319
Boulder (Co),2012,,20.8,,42.7461,-109.7067
Boulder (Co),2013,6.0,23.3,,40.0248,-105.2524
Boulder (Co),2013,6.0,23.3,,46.2359,-112.1198
Boulder (Co),2013,6.0,23.3,,37.9228,-111.4319
Boulder (Co),2013,6.0,23.3,,42.7461,-109.7067
Boulder (Co),2014,7.5,23.7,,40.0248,-105.2524
Boulder (Co),2014,7.5,23.7,,46.2359,-112.1198
Boulder (Co),2014,7.5,23.7,,37.9228,-111.4319
Boulder (Co),2014,7.5,23.7,,42.7461,-109.7067
Boulder (Co),2015,6.5,19.8,,40.0248,-105.2524
Boulder (Co),2015,6.5,19.8,,46.2359,-112.1198
Boulder (Co),2015,6.5,19.8,,37.9228,-111.4319
Boulder (Co),2015,6.5,19.8,,42.7461,-109.7067
Boulder (Co),2016,6.9,20.8,,40.0248,-105.2524
Boulder (Co),2016,6.9,20.8,,46.2359,-112.1198
Boulder (Co),2016,6.9,20.8,,37.9228,-111.4319
Boulder (Co),2016,6.9,20.8,,42.7461,-109.7067
Boulder (Co),2018,6.4,20.4,,40.0248,-105.2524
Boulder (Co),2018,6.4,20.4,,46.2359,-112.1198
Boulder (Co),2018,6.4,20.4,,37.9228,-111.4319
Boulder (Co),2018,6.4,20.4,,42.7461,-109.7067
Boulder (Co),2019,,20.9,,40.0248,-105.2524
Boulder (Co),2019,,20.9,,46.2359,-112.1198
Boulder (Co),2019,,20.9,,37.9228,-111.4319
Boulder (Co),2019,,20.9,,42.7461,-109.7067
Bridgeport-Stamford-Norwalk (Ct),2010,9.1,,,,
Bridgeport-Stamford-Norwalk (Ct),2011,9.6,,,,
Bridgeport-Stamford-Norwalk (Ct),2012,8.4,16.7,,,
Bridgeport-Stamford-Norwalk (Ct),2013,7.8,15.8,,,
Bridgeport-Stamford-Norwalk (Ct),2014,,17.8,,,
Bridgeport-Stamford-Norwalk (Ct),2015,9.5,,,,
Bridgeport-Stamford-Norwalk (Ct),2016,,14.1,,,
Bridgeport-Stamford-Norwalk (Ct),2017,6.9,12.2,,,
Bridgeport-Stamford-Norwalk (Ct),2018,,14.2,,,
Broadus,2012,,,1.9,45.4429,-105.4083
Broadus,2013,,24.1,1.7,45.4429,-105.4083
Broadus,2014,,,1.8,45.4429,-105.4083
Broadus,2015,,27.4,,45.4429,-105.4083
Broadus,2017,,,1.6,45.4429,-105.4083
Broadus,2018,,20.1,1.7,45.4429,-105.4083
Buffalo-Cheektowaga-Niagara Falls (Ny),2010,,,24.4,,
Buffalo-Cheektowaga-Niagara Falls (Ny),2012,,,19.7,,
Buffalo-Cheektowaga-Niagara Falls (Ny),2013,,,19.5,,
Buffalo-Cheektowaga-Niagara Falls (Ny),2015,,,20.9,,
Buffalo-Cheektowaga-Niagara Falls (Ny),2019,,,17.8,,
Burlington-South Burlington (Vt),2010,,7.4,16.1,,
Burlington-South Burlington (Vt),2012,4.6,6.8,,,
Burlington-South Burlington (Vt),2013,4.8,6.6,,,
Burlington-South Burlington (Vt),2014,3.8,6.8,12.9,,
Burlington-South Burlington (Vt),2015,3.5,7.8,,,
Burlington-South Burlington (Vt),2016,,6.4,,,
Burlington-South Burlington (Vt),2017,,5.9,,,
Burlington-South Burlington (Vt),2018,,5.6,,,
Burlington-South Burlington (Vt),2019,4.5,4.9,,,
Butte-Silver Bow (Mt),2010,,29.5,,,
Butte-Silver Bow (Mt),2012,,27.8,,,
Butte-Silver Bow (Mt),2014,,20.3,,,
Butte-Silver Bow (Mt),2015,10.5,19.3,,,
Butte-Silver Bow (Mt),2017,,18.6,,,
Butte-Silver Bow (Mt),2019,,20.1,,,
Cadillac (Mi),2011,,,1.9,44.2493,-85.4164
Cadillac (Mi),2012,,,2.6,44.2493,-85.4164
Cadillac (Mi),2013,,,2.6,44.2493,-85.4164
Cadillac (Mi),2014,,,2.3,44.2493,-85.4164
Cadillac (Mi),2017,4.8,,2.7,44.2493,-85.4164
Cadillac (Mi),2018,,,2.6,44.2493,-85.4164
Cadillac (Mi),2019,,,2.0,44.2493,-85.4164
Canon City (Co),2012,,19.6,,,
Canon City (Co),2013,,20.6,,,
Canon City (Co),2017,,15.4,,,
Canton-Massillon (Oh),2010,14.4,,,,
Canton-Massillon (Oh),2011,12.8,,,,
Cape Coral-Fort Myers (Fl),2011,,15.3,,,
Cape Coral-Fort Myers (Fl),2014,,14.1,,,
Cape Coral-Fort Myers (Fl),2016,5.7,14.0,,,
Cape Coral-Fort Myers (Fl),2017,,15.6,,,
Cape Coral-Fort Myers (Fl),2018,,16.7,,,
Carlsbad-Artesia (Nm),2011,,,4.9,,
Carlsbad-Artesia (Nm),2013,,,4.5,,
Carlsbad-Artesia (Nm),2014,,,4.9,,
Carlsbad-Artesia (Nm),2015,,,4.5,,
Carlsbad-Artesia (Nm),2018,,,9.7,,
Carlsbad-Artesia (Nm),2019,,,9.5,,
Cedar Rapids (Ia),2012,,22.8,,41.9662,-91.6783
Cedar Rapids (Ia),2012,,22.8,,41.5589,-98.1493
Cedar Rapids (Ia),2013,,21.7,,41.9662,-91.6783
Cedar Rapids (Ia),2013,,21.7,,41.5589,-98.1493
Cedar Rapids (Ia),2019,,17.5,,41.9662,-91.6783
Cedar Rapids (Ia),2019,,17.5,,41.5589,-98.1493
Central Mckenzie,2010,,8.7,2.2,,
Central Mckenzie,2011,,7.8,2.1,,
Central Mckenzie,2012,,9.5,2.3,,
Central Mckenzie,2013,3.6,7.1,2.2,,
Central Mckenzie,2014,2.9,5.9,,,
Central Mckenzie,2015,,5.9,3.1,,
Central Mckenzie,2016,1.8,3.8,2.4,,
Central Mckenzie,2018,5.2,10.3,3.1,,
Central Mckenzie,2019,,7.4,3.2,,
Charleston-North Charleston (Sc),2010,,,8.55,,
Charleston-North Charleston (Sc),2011,,,12.4,,
Charleston-North Charleston (Sc),2012,,,12.7,,
Charleston-North Charleston (Sc),2013,,,12.5,,
Charleston-North Charleston (Sc),2014,,,7.65,,
Charleston-North Charleston (Sc),2015,,,11.0,,
Charleston-North Charleston (Sc),2016,,,6.3,,
Charleston-North Charleston (Sc),2017,,,7.85,,
Charleston-North Charleston (Sc),2018,,,2.4,,
Charleston-North Charleston (Sc),2019,,,11.7,,
Charlotte-Concord-Gastonia (Nc-Sc),2010,,,22.1,,
Charlotte-Concord-Gastonia (Nc-Sc),2011,,15.9,,,
Charlotte-Concord-Gastonia (Nc-Sc),2013,,,15.9,,
Charlotte-Concord-Gastonia (Nc-Sc),2014,,,16.0,,
Charlotte-Concord-Gastonia (Nc-Sc),2015,,16.9,15.2,,
Charlotte-Concord-Gastonia (Nc-Sc),2017,,11.5,,,
Charlotte-Concord-Gastonia (Nc-Sc),2018,,,11.8,,
Cheyenne (Wy),2011,4.35,11.6,,41.135,-104.7902
Cheyenne (Wy),2011,4.35,11.6,,35.6109,-99.6763
Cheyenne (Wy),2012,,13.5,7.1,41.135,-104.7902
Cheyenne (Wy),2012,,13.5,7.1,35.6109,-99.6763
Cheyenne (Wy),2013,3.25,10.0,,41.135,-104.7902
Cheyenne (Wy),2013,3.25,10.0,,35.6109,-99.6763
Cheyenne (Wy),2014,,,6.8,41.135,-104.7902
Cheyenne (Wy),2014,,,6.8,35.6109,-99.6763
Cheyenne (Wy),2015,,9.4,,41.135,-104.7902
Cheyenne (Wy),2015,,9.4,,35.6109,-99.6763
Cheyenne (Wy),2017,3.4,,6.9,41.135,-104.7902
Cheyenne (Wy),2017,3.4,,6.9,35.6109,-99.6763
Cheyenne (Wy),2018,4.7,,7.0,41.135,-104.7902
Cheyenne (Wy),2018,4.7,,7.0,35.6109,-99.6763
Cheyenne (Wy),2019,,10.0,,41.135,-104.7902
Cheyenne (Wy),2019,,10.0,,35.6109,-99.6763
Chicago-Naperville-Elgin (Il-In-Wi),2010,14.63,22.65,37.33,,
Chicago-Naperville-Elgin (Il-In-Wi),2011,13.4,22.98,34.38,,
Chicago-Naperville-Elgin (Il-In-Wi),2012,12.03,23.85,35.0,,
Chicago-Naperville-Elgin (Il-In-Wi),2013,12.2,27.2,34.98,,
Chicago-Naperville-Elgin (Il-In-Wi),2014,12.0,24.03,32.2,,
Chicago-Naperville-Elgin (Il-In-Wi),2015,10.75,26.8,27.2,,
Chicago-Naperville-Elgin (Il-In-Wi),2016,,21.77,26.64,,
Chicago-Naperville-Elgin (Il-In-Wi),2017,,21.9,25.77,,
Chicago-Naperville-Elgin (Il-In-Wi),2018,10.7,22.0,27.92,,
Chicago-Naperville-Elgin (Il-In-Wi),2019,,18.86,27.27,,
Chico (Ca),2012,,,15.0,39.7578,-121.8161
Chico (Ca),2012,,,15.0,47.6226,-122.7193
Chico (Ca),2012,,,15.0,33.296,-97.7986
Chico (Ca),2013,,,15.7,39.7578,-121.8161
Chico (Ca),2013,,,15.7,47.6226,-122.7193
