Country,City/Town,"Annual mean PM10, ug/m3",Year,note on converted PM10,"Annual mean PM2.5, ug/m3",Year,Number and type of monitoring stations (PM2.5),note on converted PM2.5,Temporal coverage
United States of America,"Bridgeport-Stamford-Norwalk, CT",15,2014,converted from PM2.5,8,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Brigham City, UT",12,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Bryson City (RR name Bryson),Swain,NC",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Burlington, NC",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Burlington-South Burlington, VT",10,2014,converted from PM2.5,5,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Burns,Harney,OR",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Butte-Silver Bow, MT",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Cadillac, MI",10,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Cambridge, MD",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Candor,Montgomery,NC",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Canton-Massillon, OH",21,2014,converted from PM2.5,11,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Cape Coral-Fort Myers, FL",11,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Carson City, NV",10,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Cedar Rapids, IA",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Charleston, WV",17,2014,converted from PM2.5,9,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Charleston-North Charleston, SC",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Charlotte-Gastonia-Concord, NC-SC",16,2014,converted from PM2.5,9,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Charlottesville, VA",14,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Chattanooga, TN-GA",17,2014,converted from PM2.5,9,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Cheyenne, WY",7,2014,converted from PM2.5,4,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Chicago-Naperville-Joliet, IL-IN-WI",22,2014,converted from PM2.5,12,2014,"5 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Chico, CA",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Cincinnati-Middletown, OH-KY-IN",19,2014,converted from PM2.5,10,2014,"5 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Clarksburg, WV",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Clarksville, TN-KY",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Clearlake, CA",8,2014,converted from PM2.5,4,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Cleveland-Elyria-Mentor, OH",19,2014,converted from PM2.5,10,2014,"7 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Clinton, IA",19,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Colorado Springs, CO",11,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Columbia, SC",17,2014,converted from PM2.5,9,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Columbia, TN",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Columbus, GA-AL",19,2014,converted from PM2.5,10,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Columbus, OH",19,2014,converted from PM2.5,10,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Colusa,Colusa,CA",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Concord, NH",12,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Cookeville, TN",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Corning, NY",11,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Corpus Christi, TX",18,2014,converted from PM2.5,10,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Cortina Indian Rancheria,Colusa,CA",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Crossett,Ashley,AR",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Dale,Spencer,IN",20,2014,converted from PM2.5,11,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Dallas-Fort Worth-Arlington, TX",18,2014,converted from PM2.5,10,2014,"5 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Daphne-Fairhope-Foley, AL",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Davenport-Moline-Rock Island, IA-IL",18,2014,converted from PM2.5,10,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Dayton, OH",17,2014,converted from PM2.5,9,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Decatur, AL",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Denver-Aurora, CO",13,2014,converted from PM2.5,7,2014,"7 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Des Moines-West Des Moines, IA",16,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Detroit Lakes,Becker,MN",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Detroit-Warren-Livonia, MI",18,2014,converted from PM2.5,10,2014,"11 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Dickinson, ND",8,2014,converted from PM2.5,4,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Dover, DE",15,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Duluth, MN-WI",13,2014,converted from PM2.5,7,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Durham, NC",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Dyersburg, TN",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"East Stroudsburg, PA",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Eau Claire, WI",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"El Centro, CA",19,2014,converted from PM2.5,10,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"El Dorado, AR",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"El Paso, TX",17,2014,converted from PM2.5,9,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Elizabethtown, KY",19,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Elkhart-Goshen, IN",28,2014,converted from PM2.5,15,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Emmetsburg,Palo Alto,IA",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Erie, PA",20,2014,converted from PM2.5,11,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Eugene-Springfield, OR",14,2014,converted from PM2.5,8,2014,"5 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Eureka-Arcata-Fortuna, CA",8,2014,converted from PM2.5,4,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Evansville, IN-KY",21,2014,converted from PM2.5,11,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Fairbanks, AK",19,2014,converted from PM2.5,10,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Fairmont, WV",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Fargo, ND-MN",9,2014,converted from PM2.5,5,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Farmington, NM",7,2014,converted from PM2.5,4,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Fayetteville, NC",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Fayetteville-Springdale-Rogers, AR-MO",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Flint, MI",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Florence, SC",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Florence-Muscle Shoals, AL",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Fort Collins-Loveland, CO",12,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Fort Madison-Keokuk, IA-MO",20,2014,converted from PM2.5,11,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Fort Smith, AR-OK",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Fort Wayne, IN",21,2014,converted from PM2.5,11,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Fresno, CA",28,2014,converted from PM2.5,15,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Gainesville, GA",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Gardnerville Ranchos, NV",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Gillette, WY",8,2014,converted from PM2.5,4,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Goldsboro, NC",22,2014,converted from PM2.5,12,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Gordon,Wilkinson,GA",20,2014,converted from PM2.5,11,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Grand Island, NE",12,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Grand Junction, CO",14,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Grand Rapids-Wyoming, MI",18,2014,converted from PM2.5,10,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Grants Pass, OR",14,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Greeley, CO",14,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Green Bay, WI",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Greensboro-High Point, NC",15,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Greenville, NC",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Greenville-Mauldin-Easley, SC",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Gulfport-Biloxi, MS",17,2014,converted from PM2.5,9,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Hagerstown-Martinsburg, MD-WV",18,2014,converted from PM2.5,10,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Hamilton,Ravalli,MT",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Hammond, LA",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Hanford-Corcoran, CA",30,2014,converted from PM2.5,16,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Harriman, TN",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Harrisburg-Carlisle, PA",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Harrisonburg, VA",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Hartford-West Hartford-East Hartford, CT",14,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Hattiesburg, MS",19,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Hazard,Perry,KY",16,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Helena, MT",10,2014,converted from PM2.5,5,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Hickory-Lenoir-Morganton, NC",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Hilo, HI",14,2014,converted from PM2.5,8,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Honolulu, HI",8,2014,converted from PM2.5,4,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Hot Springs, AR",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Houma-Bayou Cane-Thibodaux, LA",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Houston-Sugar Land-Baytown, TX",19,2014,converted from PM2.5,10,2014,"5 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Huntington-Ashland, WV-KY-OH",16,2014,converted from PM2.5,9,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Huntsville, AL",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Indianapolis-Carmel, IN",21,2014,converted from PM2.5,12,2014,"5 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Jackson, MS",18,2014,converted from PM2.5,10,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Jackson, TN",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Jacksonville, FL",15,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Jamestown-Dunkirk-Fredonia, NY",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Jamesville,Martin,NC",14,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Jasper, IN",21,2014,converted from PM2.5,11,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Johnstown, PA",21,2014,converted from PM2.5,11,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Juneau, AK",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Kalamazoo-Portage, MI",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Kalispell, MT",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Kansas City, MO-KS",16,2014,converted from PM2.5,9,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Kapaa, HI",8,2014,converted from PM2.5,4,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Keene, NH",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Kenansville,Duplin,NC",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Kingsport-Bristol-Bristol, TN-VA",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Klamath Falls, OR",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Knoxville, TN",18,2014,converted from PM2.5,10,2014,"6 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"La Crosse, WI-MN",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Laconia, NH",8,2014,converted from PM2.5,5,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lafayette, IN",20,2014,converted from PM2.5,11,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lafayette, LA",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lake Charles, LA",13,2014,converted from PM2.5,7,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lakeland, FL",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lakeview,Lake,OR",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lancaster, PA",25,2014,converted from PM2.5,13,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lansing-East Lansing, MI",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Las Vegas-Paradise, NV",14,2014,converted from PM2.5,8,2014,"5 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lawrenceburg, TN",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lawton, OK",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lebanon, NH-VT",12,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lebanon, PA",23,2014,converted from PM2.5,13,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lewiston-Auburn, ME",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lexington-Fayette, KY",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Libby,Lincoln,MT",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lincoln, NE",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Little Rock-North Little Rock-Conway, AR",19,2014,converted from PM2.5,10,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Logan, UT-ID",12,2014,converted from PM2.5,6,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Los Angeles-Long Beach-Santa Ana, CA",20,2014,converted from PM2.5,11,2014,"9 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Louisville/Jefferson County, KY-IN",21,2014,converted from PM2.5,11,2014,"6 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lumberton, NC",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Lynchburg, VA",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Macon, GA",19,2014,converted from PM2.5,10,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Madera, CA",26,2014,converted from PM2.5,14,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Madison, WI",17,2014,converted from PM2.5,9,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Manchester-Nashua, NH",11,2014,converted from PM2.5,6,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Manistee,Manistee,MI",11,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Marshall, MN",11,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Marshall, TX",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"McAlester, OK",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"McAllen-Edinburg-Mission, TX",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Medford, OR",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
