Country,City/Town,Year,"Annual mean PM10, ug/m3","Annual mean PM2.5, ug/m3",Temporal coverage,Number and type of monitoring stations,Database version (year)
United States of America,Greensboro-High Point,2014,(15)-converted value,8,NA,-,2016
United States of America,Greensburg,2016,(20)-converted value,10,>75%,1 Suburban,2018
United States of America,Greenville,2016,(20)-converted value,10,>75%,1 Urban And Center City,2018
United States of America,Greenville-Mauldin-Easley,2014,(17)-converted value,9,NA,-,2016
United States of America,Groton,2016,(12)-converted value,6,50% -< 75%,1 Suburban,2018
United States of America,Groveton,2016,(14)-converted value,7,>75%,1 Suburban,2018
United States of America,Gulfport-Biloxi,2014,(17)-converted value,9,NA,-,2016
United States of America,Hagerstown-Martinsburg,2014,(18)-converted value,10,NA,-,2016
United States of America,Hamilton,2016,(19)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,Hammond,2014,(15)-converted value,8,NA,-,2016
United States of America,Hanford,2016,(32)-converted value,16,>75%,1 Suburban,2018
United States of America,Hanford-Corcoran,2014,(30)-converted value,16,NA,-,2016
United States of America,Harriman,2014,(17)-converted value,9,NA,-,2016
United States of America,Harrisburg-Carlisle,2014,(18)-converted value,10,NA,-,2016
United States of America,Harrisonburg,2014,(16)-converted value,9,NA,-,2016
United States of America,Hartford,2016,(15)-converted value,7,50% -< 75%,1 Urban And Center City,2018
United States of America,Hartford-West Hartford-East Hartford,2014,(14)-converted value,8,NA,-,2016
United States of America,Hattiesburg,2014,(19)-converted value,10,NA,-,2016
United States of America,Haverhill,2016,(11)-converted value,5,50% -< 75%,1 Suburban,2018
United States of America,Hawaiian Ocean View,2016,(30)-converted value,15,>75%,1 Rural,2018
United States of America,Hazard,2014,(16)-converted value,8,NA,-,2016
United States of America,Helena,2014,(10)-converted value,5,NA,-,2016
United States of America,Helena Valley West Central,2016,(14)-converted value,7,>75%,1 Suburban,2018
United States of America,Henderson,2016,(15)-converted value,7,>75%,1 Suburban,2018
United States of America,Hickory,2016,(19)-converted value,9,50% -< 75%,1 Suburban,2018
United States of America,Hickory-Lenoir-Morganton,2014,(17)-converted value,9,NA,-,2016
United States of America,Hilo,2016,(18)-converted value,9,>75%,1 Suburban,2018
United States of America,Hollister,2016,(9)-converted value,4,>75%,1 Rural,2018
United States of America,Homestead,2016,(15)-converted value,7,>75%,1 Suburban,2018
United States of America,Honolulu,2016,(6)-converted value,3,>75%,2 Urban And Center City,2018
United States of America,Hot Springs,2014,(17)-converted value,9,NA,-,2016
United States of America,Houma-Bayou Cane-Thibodaux,2014,(14)-converted value,8,NA,-,2016
United States of America,Houston,2015,(25)-converted value,12,>75%,1 Urban And Center City,2018
United States of America,Houston-Sugar Land-Baytown,2014,(19)-converted value,10,NA,-,2016
United States of America,Huntington-Ashland,2014,(16)-converted value,9,NA,-,2016
United States of America,Huntsville,2014,(17)-converted value,9,NA,-,2016
United States of America,Hurricane,2015,(10)-converted value,5,>75%,1 Rural,2018
United States of America,Indianapolis (Remainder),2016,(20)-converted value,10,50% -< 75%,"2 Suburban, 2 Urban And Center City",2018
United States of America,Indianapolis-Carmel,2014,(21)-converted value,12,NA,-,2016
United States of America,Iowa City,2016,(15)-converted value,7,>75%,1 Urban And Center City,2018
United States of America,Jackson,2014,(18)-converted value,10,NA,-,2016
United States of America,Jacksonville,2016,(15)-converted value,7,>75%,3 Suburban,2018
United States of America,Jamestown-Dunkirk-Fredonia,2014,(15)-converted value,8,NA,-,2016
United States of America,Jamesville,2014,(14)-converted value,7,NA,-,2016
United States of America,Jasper,2014,(21)-converted value,11,NA,-,2016
United States of America,Jean,2016,(13)-converted value,6,>75%,1 Rural,2018
United States of America,Jeffersonville,2016,(19)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,Jersey City,2016,(18)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,Johnstown,2016,(19)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,Juneau,2015,(14)-converted value,7,>75%,1 Suburban,2018
United States of America,Kahului,2016,(6)-converted value,3,>75%,1 Urban And Center City,2018
United States of America,Kalamazoo-Portage,2014,(18)-converted value,10,NA,-,2016
United States of America,Kalispell,2014,(15)-converted value,8,NA,-,2016
United States of America,Kansas City,2016,(16)-converted value,8,>75%,"1 Suburban, 1 Urban And Center City",2018
United States of America,Kapaa,2014,(8)-converted value,4,NA,-,2016
United States of America,Kealakekua,2015,(22)-converted value,10,>75%,1 Suburban,2018
United States of America,Keeler,2016,(12)-converted value,6,50% -< 75%,1 Rural,2018
United States of America,Keene,2016,(13)-converted value,6,50% -< 75%,1 Urban And Center City,2018
United States of America,Kenansville,2014,(14)-converted value,8,NA,-,2016
United States of America,Kenner,2014,(16)-converted value,8,>75%,1 Suburban,2018
United States of America,Kennesaw,2016,(19)-converted value,9,>75%,1 Suburban,2018
United States of America,Kent,2016,(11)-converted value,6,>75%,1 Urban And Center City,2018
United States of America,Kihei,2016,(8)-converted value,4,>75%,1 Suburban,2018
United States of America,King City,2016,(11)-converted value,5,>75%,1 Urban And Center City,2018
United States of America,Kingsport-Bristol-Bristol,2014,(16)-converted value,9,NA,-,2016
United States of America,Kittanning,2016,(22)-converted value,10,>75%,1 Suburban,2018
United States of America,Klamath Falls,2014,(16)-converted value,9,NA,-,2016
United States of America,Knowlton (Township Of),2016,(18)-converted value,8,50% -< 75%,1 Suburban,2018
United States of America,Knoxville,2016,(21)-converted value,10,50% -< 75%,"1 Suburban, 1 Urban And Center City",2018
United States of America,Kokomo,2016,(18)-converted value,9,50% -< 75%,1 Urban And Center City,2018
United States of America,La Crosse,2014,(15)-converted value,8,NA,-,2016
United States of America,Laconia,2014,(8)-converted value,4,NA,-,2016
United States of America,Ladue,2016,(18)-converted value,9,>75%,1 Suburban,2018
United States of America,Lafayette,2014,(20)-converted value,11,NA,-,2016
United States of America,Lake Charles,2014,(13)-converted value,7,NA,-,2016
United States of America,Lakeland,2014,(13)-converted value,7,NA,-,2016
United States of America,Lakeview,2014,(16)-converted value,9,NA,-,2016
United States of America,Lakeville,2016,(12)-converted value,6,>75%,1 Suburban,2018
United States of America,Lancaster,2016,(19)-converted value,9,>75%,"1 Suburban, 1 Urban And Center City",2018
United States of America,Lansing-East Lansing,2014,(17)-converted value,9,NA,-,2016
United States of America,Las Vegas,2016,(19)-converted value,9,50% -< 75%,1 Urban And Center City,2018
United States of America,Las Vegas-Paradise,2014,(14)-converted value,8,NA,-,2016
United States of America,Lawrence (Township Of),2016,(18)-converted value,9,>75%,1 Suburban,2018
United States of America,Lawrenceburg,2014,(15)-converted value,8,NA,-,2016
United States of America,Lawton,2016,(14)-converted value,7,>75%,1 Suburban,2018
United States of America,Lebanon,2016,(11)-converted value,5,50% -< 75%,1 Urban And Center City,2018
United States of America,Lewiston,2016,(12)-converted value,6,50% -< 75%,1 Urban And Center City,2018
United States of America,Lewiston-Auburn,2014,(14)-converted value,8,NA,-,2016
United States of America,Lexington,2016,(18)-converted value,8,50% -< 75%,1 Urban And Center City,2018
United States of America,Lexington-Fayette,2014,(17)-converted value,9,NA,-,2016
United States of America,Libby,2016,(20)-converted value,10,>75%,1 Urban And Center City,2018
United States of America,Liberty,2015,(28)-converted value,13,50% -< 75%,1 Suburban,2018
United States of America,Lincoln,2014,(14)-converted value,8,NA,-,2016
United States of America,Little Rock-North Little Rock-Conway,2014,(19)-converted value,10,NA,-,2016
United States of America,Live Oak,2016,(11)-converted value,5,>75%,1 Suburban,2018
United States of America,Livermore,2016,(16)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Logan,2014,(18)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Lompoc,2016,(15)-converted value,7,>75%,1 Urban And Center City,2018
United States of America,Long Beach,2016,(22)-converted value,11,>75%,3 Suburban,2018
United States of America,Los Angeles,2016,(25)-converted value,12,50% -< 75%,1 Urban And Center City,2018
United States of America,Los Angeles-Long Beach-Santa Ana,2014,(20)-converted value,11,NA,-,2016
United States of America,Louisville,2016,(17)-converted value,8,50% -< 75%,2 Suburban,2018
United States of America,Louisville/Jefferson County,2014,(21)-converted value,11,NA,-,2016
United States of America,Lumberton,2014,(16)-converted value,9,NA,-,2016
United States of America,Lynchburg,2014,(14)-converted value,8,NA,-,2016
United States of America,Lynn,2016,(10)-converted value,5,50% -< 75%,1 Urban And Center City,2018
United States of America,Macon,2014,(22)-converted value,11,50% -< 75%,1 Suburban,2018
United States of America,Madawaska (Census Name For Madawaska Center),2016,(13)-converted value,6,50% -< 75%,1 Urban And Center City,2018
United States of America,Madera,2016,(23)-converted value,11,50% -< 75%,1 Suburban,2018
United States of America,Madison,2014,(19)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,Manchester-Nashua,2014,(11)-converted value,6,NA,-,2016
United States of America,Manistee,2014,(11)-converted value,6,NA,-,2016
United States of America,Marcus Hook,2016,(19)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,Maricopa,2014,(29)-converted value,14,>75%,1 Rural,2018
United States of America,Marshall,2016,(9)-converted value,4,>75%,1 Rural,2018
United States of America,Marysville,2016,(13)-converted value,6,>75%,1 Suburban,2018
United States of America,Mcalester,2016,(16)-converted value,8,50% -< 75%,1 Rural,2018
United States of America,Mcallen-Edinburg-Mission,2014,(18)-converted value,10,NA,-,2016
United States of America,Mccook,2016,(20)-converted value,10,50% -< 75%,1 Suburban,2018
United States of America,Medford,2014,(17)-converted value,9,NA,-,2016
United States of America,Memphis,2015,(18)-converted value,9,50% -< 75%,1 Suburban,2018
United States of America,Mena,2014,(17)-converted value,9,NA,-,2016
United States of America,Merced,2014,(20)-converted value,11,NA,-,2016
United States of America,Mesa,2016,(14)-converted value,7,>75%,1 Suburban,2018
United States of America,Miami,2016,(16)-converted value,8,50% -< 75%,1 Urban And Center City,2018
United States of America,Miami-Fort Lauderdale-Pompano Beach,2014,(11)-converted value,6,NA,-,2016
United States of America,Michigan City-La Porte,2014,(18)-converted value,10,NA,-,2016
United States of America,Middlesborough,2014,(17)-converted value,9,NA,-,2016
United States of America,Milton,2015,(10)-converted value,5,>75%,1 Suburban,2018
United States of America,Milwaukee-Waukesha-West Allis,2014,(18)-converted value,10,NA,-,2016
United States of America,Minneapolis,2016,(15)-converted value,7,>75%,2 Urban And Center City,2018
United States of America,Minneapolis-St. Paul-Bloomington,2014,(14)-converted value,8,NA,-,2016
United States of America,Mira Loma,2016,(29)-converted value,14,>75%,1 Suburban,2018
United States of America,Missoula,2016,(15)-converted value,7,>75%,1 Suburban,2018
United States of America,Mobile,2014,(17)-converted value,9,NA,-,2016
United States of America,Modesto,2016,(21)-converted value,10,50% -< 75%,1 Urban And Center City,2018
United States of America,Mojave,2016,(15)-converted value,7,>75%,1 Rural,2018
United States of America,Montgomery,2014,(17)-converted value,9,NA,-,2016
United States of America,Moore,2016,(16)-converted value,8,>75%,1 Suburban,2018
United States of America,Morgantown,2014,(16)-converted value,9,NA,-,2016
United States of America,Mount Vernon-Anacortes,2014,(11)-converted value,6,NA,-,2016
United States of America,Mountain View,2015,(6)-converted value,3,>75%,1 Suburban,2018
United States of America,Mountlake Terrace,2016,(8)-converted value,4,>75%,1 Suburban,2018
United States of America,Muncie,2014,(19)-converted value,10,NA,-,2016
United States of America,Muscatine,2016,(16)-converted value,8,50% -< 75%,1 Suburban,2018
United States of America,Napa,2016,(18)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Nashville,2016,(19)-converted value,9,50% -< 75%,1 Urban And Center City,2018
United States of America,Nashville-Davidson-Murfreesboro-Franklin,2014,(18)-converted value,10,NA,-,2016
United States of America,New Albany,2016,(15)-converted value,7,>75%,1 Suburban,2018
United States of America,New Castle,2014,(18)-converted value,10,NA,-,2016
